Zeitpunkt;Skalierter Netzlast [MWh]
2035-07-04 06:52:30;22489.617876782217
2035-07-04 07:07:30;23168.15713373141
2035-07-04 07:22:30;23524.62858209812
2035-07-04 07:37:30;23955.710333611354
2035-07-04 07:52:30;24290.21319271826
2035-07-04 08:07:30;24318.813808924424
2035-07-04 08:22:30;24618.084024878804
2035-07-04 08:37:30;24945.125853671056
2035-07-04 08:52:30;25040.046739340796
2035-07-04 09:07:30;24946.3693587235
2035-07-04 09:22:30;25119.631062697084
2035-07-04 09:37:30;25142.01415364104
2035-07-04 09:52:30;25349.26499571471
2035-07-04 10:07:30;25175.17428837283
2035-07-04 10:22:30;25222.427480365626
2035-07-04 10:37:30;25297.86678688044
2035-07-04 10:52:30;25239.836551099816
2035-07-04 11:07:30;25528.329723266364
2035-07-04 11:22:30;25512.164157584615
2035-07-04 11:37:30;25484.392544746745
2035-07-04 11:52:30;25485.63604979919
2035-07-04 12:07:30;25120.874567749528
2035-07-04 12:22:30;25056.212305022542
2035-07-04 12:37:30;24931.86179977834
2035-07-04 12:52:30;25060.771823548163
2035-07-04 13:07:30;25016.00564166025
2035-07-04 13:22:30;24882.536099364806
2035-07-04 13:37:30;24747.408550332773
2035-07-04 13:52:30;24537.67069815422
2035-07-04 14:07:30;24608.550486143416
2035-07-04 14:22:30;24457.671873113784
2035-07-04 14:37:30;24241.71649567302
2035-07-04 14:52:30;24097.88441127389
2035-07-04 15:07:30;24194.048801996076
2035-07-04 15:22:30;24135.6040645313
2035-07-04 15:37:30;24016.227579496866
2035-07-04 15:52:30;23721.10238038396
2035-07-04 16:07:30;24002.134522235858
2035-07-04 16:22:30;24037.367165388383
2035-07-04 16:37:30;23982.65294308093
2035-07-04 16:52:30;23943.275283086936
2035-07-04 17:07:30;24099.542418010482
2035-07-04 17:22:30;24170.836707683826
2035-07-04 17:37:30;24072.185306856758
2035-07-04 17:52:30;24435.288782169828
2035-07-04 18:07:30;24468.448916901616
2035-07-04 18:22:30;24384.719576703854
2035-07-04 18:37:30;24275.291132088954
2035-07-04 18:52:30;24341.19689986838
2035-07-04 19:07:30;24262.02707819624
2035-07-04 19:22:30;23985.554454869965
2035-07-04 19:37:30;23835.09034352448
2035-07-04 19:52:30;23605.456410506853
2035-07-04 20:07:30;23525.04308378227
2035-07-04 20:22:30;23215.410325724206
2035-07-04 20:37:30;22833.23977294036
2035-07-04 20:52:30;22479.25533467853
2035-07-04 21:07:30;22221.849788823034
2035-07-04 21:22:30;21908.072013923498
2035-07-04 21:37:30;21679.68158595831
2035-07-04 21:52:30;21610.459804705708
2035-07-04 22:07:30;21424.763050207697
2035-07-04 22:22:30;21137.098881409445
2035-07-04 22:37:30;20706.846133264506
2035-07-04 22:52:30;20337.52513268923
2035-07-04 23:07:30;19820.227030873346
