Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2045-01-03 21:30:00;2045-01-03 21:45:00;2045-01-03 21:37:30;43107,84791315164
2045-01-03 21:45:00;2045-01-03 22:00:00;2045-01-03 21:52:30;42636,45041888555
2045-01-03 22:00:00;2045-01-03 22:15:00;2045-01-03 22:07:30;42531,51604516194
2045-01-03 22:15:00;2045-01-03 22:30:00;2045-01-03 22:22:30;41986,66448928932
2045-01-03 22:30:00;2045-01-03 22:45:00;2045-01-03 22:37:30;41177,86262412729
2045-01-03 22:45:00;2045-01-03 23:00:00;2045-01-03 22:52:30;40488,52450751215
2045-01-03 23:00:00;2045-01-03 23:15:00;2045-01-03 23:07:30;39904,92795211081
2045-01-03 23:15:00;2045-01-03 23:30:00;2045-01-03 23:22:30;39106,61952432115
2045-01-03 23:30:00;2045-01-03 23:45:00;2045-01-03 23:37:30;38860,42733981574
2045-01-03 23:45:00;2045-01-04 00:00:00;2045-01-03 23:52:30;38244,54328480713
2045-01-04 00:00:00;2045-01-04 00:15:00;2045-01-04 00:07:30;37884,53766418611
2045-01-04 00:15:00;2045-01-04 00:30:00;2045-01-04 00:22:30;37617,35860493598
2045-01-04 00:30:00;2045-01-04 00:45:00;2045-01-04 00:37:30;36833,57955196959
2045-01-04 00:45:00;2045-01-04 01:00:00;2045-01-04 00:52:30;36718,15174087361
2045-01-04 01:00:00;2045-01-04 01:15:00;2045-01-04 01:07:30;36295,18549601842
